edge_id	src_id	dst_id	relation_type	page_no	sentence_id	confidence
e00001	n00001	n00002	related_to	2	s0016	0.9183157086372375
e00002	n00002	n00003	related_to	2	s0016	0.9881471395492554
e00003	n00005	n00006	related_to	3	s0071	0.9833131432533264
e00004	n00006	n00007	related_to	3	s0071	0.846428632736206
e00005	n00008	n00009	related_to	3	s0072	0.8591022491455078
e00006	n00011	n00012	related_to	4	s0083	0.9595697522163391
e00007	n00011	n00012	related_to	7	s0218	0.9842488169670105
e00008	n00017	n00013	related_to	7	s0237	0.9366333484649658
e00009	n00020	n00017	related_to	8	s0260	0.59031081199646
e00010	n00017	n00021	related_to	8	s0260	0.6905581951141357
e00011	n00022	n00023	related_to	8	s0261	0.9844539761543274
e00012	n00005	n00024	related_to	8	s0274	0.9796515703201294
e00013	n00024	n00025	related_to	8	s0274	0.682293176651001
e00014	n00028	n00029	related_to	9	s0302	0.5519106984138489
e00015	n00032	n00033	related_to	10	s0323	0.9342515468597412
e00016	n00033	n00034	related_to	10	s0323	0.9342515468597412
e00017	n00034	n00035	related_to	10	s0323	0.8763855695724487
e00018	n00041	n00042	related_to	11	s0349	0.6662660837173462
e00019	n00032	n00035	related_to	12	s0367	0.5987913012504578
e00020	n00035	n00046	related_to	12	s0367	0.762607216835022
e00021	n00051	n00052	related_to	12	s0383	0.7834329009056091
e00022	n00022	n00023	related_to	13	s0401	0.9844204783439636
e00023	n00023	n00054	related_to	13	s0401	0.7054409384727478
e00024	n00054	n00055	related_to	13	s0401	0.7054409384727478
