global_node_id	name	label	example_page_no	example_sentence_id	example_kg
g00001	全国人大常委会	government	2	s0016	第一讲
g00002	最高法院	government	2	s0016	第一讲
g00003	最高检察院	government	2	s0016	第一讲
g00004	质检部门	government	2	s0020	第一讲
g00005	张明楷	name	3	s0071	第一讲
g00006	罪刑法定与刑法解释	book	3	s0071	第一讲
g00007	北京大学出版	organization	3	s0071	第一讲
g00008	刑法分则的解释原理	book	3	s0072	第一讲
g00009	中国人民大学出版	organization	3	s0072	第一讲
g00010	国家机关	government	4	s0082	第一讲
g00011	副乡长	position	4	s0083	第一讲
g00012	市长	position	4	s0083	第一讲
g00013	司法机关	government	5	s0149	第一讲
g00014	警察	position	7	s0209	第一讲
g00015	军警	position	7	s0210	第一讲
g00016	真金题卷	book	7	s0231	第一讲
g00017	行政机关	government	7	s0237	第一讲
g00018	立法机关	government	8	s0254	第一讲
g00019	成文	name	8	s0259	第一讲
g00020	机关	government	8	s0260	第一讲
g00021	国务院	government	8	s0260	第一讲
g00022	最高人民法院	government	8	s0261	第一讲
g00023	最高人民检察院	government	8	s0261	第一讲
g00024	刑法学	book	8	s0274	第一讲
g00025	律出版	organization	8	s0274	第一讲
g00026	鲍如	name	9	s0279	第一讲
g00027	许霆	name	9	s0301	第一讲
g00028	省高级法院	government	9	s0302	第一讲
g00029	司机	position	9	s0302	第一讲
g00030	全国人大	government	9	s0308	第一讲
g00031	家机关	government	10	s0316	第一讲
g00032	金正男	name	10	s0323	第一讲
g00033	领导人	position	10	s0323	第一讲
g00034	金正恩	name	10	s0323	第一讲
g00035	马来西亚	address	10	s0323	第一讲
g00036	华人民共和	government	10	s0325	第一讲
g00037	中华人民共和国	government	10	s0326	第一讲
g00038	中华人民共	government	10	s0327	第一讲
g00039	海关	government	11	s0341	第一讲
g00040	中华人民共和	government	11	s0348	第一讲
g00041	澳台	address	11	s0349	第一讲
g00042	民族自治区人大	government	11	s0349	第一讲
g00043	拉斯维加斯	address	11	s0352	第一讲
g00044	法国	address	11	s0358	第一讲
g00045	缅甸	address	11	s0363	第一讲
g00046	越南	address	12	s0367	第一讲
g00047	经理	position	12	s0378	第一讲
g00048	法修正案	book	12	s0380	第一讲
g00049	刑法修正案(八)	book	12	s0381	第一讲
g00050	刑法修正案	book	12	s0382	第一讲
g00051	刑法修正案(十)	book	12	s0383	第一讲
g00052	刑法修正案(十一)	book	12	s0383	第一讲
g00053	刑法修正案(十二)	book	12	s0384	第一讲
g00054	关于适用刑事司法解	book	13	s0401	第一讲
g00055	时间效力问题的规定	book	13	s0401	第一讲
