global_edge_id	src_id	dst_id	relation_type	confidence	example_page_no	example_sentence_id	example_kg
ge00001	g00001	g00002	related_to	0.9183157086372375	2	s0016	第一讲
ge00002	g00002	g00003	related_to	0.9881471395492554	2	s0016	第一讲
ge00003	g00005	g00006	related_to	0.9833131432533264	3	s0071	第一讲
ge00004	g00006	g00007	related_to	0.846428632736206	3	s0071	第一讲
ge00005	g00008	g00009	related_to	0.8591022491455078	3	s0072	第一讲
ge00006	g00011	g00012	related_to	0.9842488169670105	7	s0218	第一讲
ge00007	g00017	g00013	related_to	0.9366333484649658	7	s0237	第一讲
ge00008	g00020	g00017	related_to	0.59031081199646	8	s0260	第一讲
ge00009	g00017	g00021	related_to	0.6905581951141357	8	s0260	第一讲
ge00010	g00022	g00023	related_to	0.9844539761543274	8	s0261	第一讲
ge00011	g00005	g00024	related_to	0.9796515703201294	8	s0274	第一讲
ge00012	g00024	g00025	related_to	0.682293176651001	8	s0274	第一讲
ge00013	g00028	g00029	related_to	0.5519106984138489	9	s0302	第一讲
ge00014	g00032	g00033	related_to	0.9342515468597412	10	s0323	第一讲
ge00015	g00033	g00034	related_to	0.9342515468597412	10	s0323	第一讲
ge00016	g00034	g00035	related_to	0.8763855695724487	10	s0323	第一讲
ge00017	g00041	g00042	related_to	0.6662660837173462	11	s0349	第一讲
ge00018	g00032	g00035	related_to	0.5987913012504578	12	s0367	第一讲
ge00019	g00035	g00046	related_to	0.762607216835022	12	s0367	第一讲
ge00020	g00051	g00052	related_to	0.7834329009056091	12	s0383	第一讲
ge00021	g00023	g00054	related_to	0.7054409384727478	13	s0401	第一讲
ge00022	g00054	g00055	related_to	0.7054409384727478	13	s0401	第一讲
