qid	question	option_a	option_b	option_c	option_d	answer
q0001	根据相关事实，全国人大常委会作的立法解释与最高法院、最高检察院作的司法解释之间，其法律效力关系如何？	A. 具有同等法律效力	B. 立法解释优先于司法解释	C. 司法解释优先于立法解释	D. 两者无直接关系	B
q0002	张明楷的著作《罪刑法定与刑法解释》出版于哪一年？	A. 2010年	B. 2011年	C. 2009年	D. 2012年	A
q0003	张明楷的著作《刑法分则的解释原理》由哪家出版社出版？	A. 北京大学出版社	B. 中国人民大学出版社	C. 法律出版社	D. 高等教育出版社	B
q0004	根据相关知识，冒充国家机关工作人员的情形包括哪些？	A. 非国家机关工作人员冒充国家机关工作人员	B. 行政机关工作人员冒充司法机关工作人员	C. 职务低的国家机关工作人员冒充职务高的国家机关工作人员	D. 以上均是	D
q0005	在罪刑法定原则下，谁有权规定犯罪和刑罚？	A. 立法机关	B. 行政机关	C. 国务院	D. 司法机关	A
q0006	副乡长冒充市长的行为，属于冒充国家机关工作人员的哪种情形？	A. 非国家机关工作人员冒充国家机关工作人员	B. 不同种类国家机关工作人员之间冒充	C. 职务低的国家机关工作人员冒充职务高的国家机关工作人员	D. 以上都不是	C
q0007	最高人民法院和最高人民检察院在刑法方面的权限是什么？	A. 制定刑法	B. 解释刑法	C. 执行刑法	D. 修改刑法	B
q0008	张明楷所著的《刑法学》(第六版)一书由哪家出版社出版？	A. 人民出版社	B. 法律出版社	C. 法制出版社	D. 高等教育出版社	B
q0009	根据某省高级法院的指导意见，如果秘事司机在交通事故后不逃逸、救助被害人、保护现场，这种行为是否能被认定为自首？	A. 可以认定为自首	B. 不能认定为自首	C. 部分认定为自首	D. 只有在逃逸后才认定	B
q0010	在'金正男案'中，马来西亚依据哪种管辖权主张对该案的管辖权？	A. 属人管辖	B. 属地管辖	C. 保护管辖	D. 普遍管辖	B
q0011	根据材料，金正恩的身份是什么？	A. 朝鲜领导人	B. 马来西亚公民	C. 越南籍杀手	D. 金正男的弟弟	A
q0012	民族自治区人大在刑法方面有何权力？	A. 制定变通或补充规定	B. 适用本地区刑法	C. 依据外交特权解决犯罪	D. 放弃刑法适用	A
q0013	根据相关事实，刑法修正案(十)的生效日期是哪一天？	A. 2017年11月4日	B. 2021年3月1日	C. 2001年12月7日	D. 2018年6月1日	A
q0014	《关于适用刑事司法解释时间效力问题的规定》是由哪些机构发布的？	A. 最高人民法院单独发布	B. 最高人民检察院单独发布	C. 最高人民法院和最高人民检察院联合发布	D. 全国人民代表大会常务委员会发布	C
q0015	《关于适用刑事司法解释时间效力问题的规定》的发布日期是什么时候？	A. 2001年12月7日	B. 2017年11月4日	C. 2021年3月1日	D. 1999年12月20日	A
